experiment	timestamp	type	description	metric	baseline	result	status	notes
016_dynamic_cpuct	2026-03-11T00:16	algo	Log-scaled c_puct (AlphaZero base=19652)	-	-	impl	keep	Reduces exploration at high visits
017_fix_c	2026-03-13T00:00	train	Go9 100 iters: constant LR 0.001, 2 epochs, FIFO 200K	total_loss	U-shaped	3.22	keep	Hump iters 17-41, recovers. Policy 2.86, value 0.36. Depth 3.0.
018_fix_d	2026-03-13T00:01	train	Go9 100 iters: constant LR 0.001, 5 epochs, window buf 10	total_loss	3.22(fix_c)	3.06	keep	WINNER. Value 0.26 (vs 0.36). Window buffer beats FIFO. Phase 1 complete.
019_grad_clip	2026-03-14T00:00	algo	Gradient clipping max_norm=1.0, Go9 MLP 25sims 10iters	vsRandom	70%	10%	discard	Too aggressive for MLP. Higher loss (2.68 vs 2.32). Policy entropy went up (0.83 vs 0.29).
020_score_value	2026-03-14T00:01	algo	Score-based value targets weight=0.5 scale=20, Go9 MLP 25sims	vsRandom	70%	20%	queue_gpu	Worse at CPU/MLP/25sims but expected. Score noise dominates with low sim count. Test on GPU with CNN/200sims.
021_mps_cnn	2026-03-14T00:02	bench	Go9 CNN 64f on MPS, alpha=0.03, c_puct=1.0, 25 sims, 10 iters	loss	2.32(MLP)	1.63(CNN)	keep	CNN learns much faster than MLP. vsRandom 30-60% (noisy at 25 sims). 12.7min.
022_fix_d_eval	2026-03-14T00:03	eval	Fix D (100 iters) eval vs random and GnuGo	vsRandom	50%(estimated)	65%	keep	0/10 vs GnuGo L1 with both 200 and 400 sims. Still very weak at 100 iters.
023_dirichlet_fix	2026-03-14T00:04	config	Fix dirichlet_alpha 0.12→0.03 for Go 9x9	-	-	fix	keep	alpha=0.12 gives negligible per-action noise for 82 actions. 0.03 concentrates on 1-3 moves.
024_cpuct_15	2026-03-14T00:05	config	c_puct=1.5 vs 1.0 on Go9 CNN 64f, 25 sims, alpha=0.03	loss	1.63(c1.0)	1.76(c1.5)	queue_gpu	Higher entropy (1.48 vs 0.50). At 25 sims, too wide. At 200 sims on GPU, should help.
025_lr_schedule	2026-03-14T01:00	algo	Constant vs cosine LR on TTT 50 iters, 25 sims, 2x64 MLP	loss	-	const=1.037,cos=1.083	keep	Constant LR slightly better. Self-play data distribution changes continuously so LR decay premature. Keep constant for GPU runs.
026_ckpt_resume	2026-03-14T01:01	infra	Checkpoint/resume support for pipeline crash recovery	-	-	implemented	keep	Saves model+buffer+history every 25 iters. Auto-resumes on restart. Also: iter-numbered snapshots + W&B artifact uploads.
027_epochs_sweep	2026-03-14T02:00	algo	Epochs per iter sweep (3/5/10) on Go9 MLP 25sims 10iters	vsRandom	-	3ep=10%, 5ep=30%, 10ep=50%	keep	Very noisy at local scale. 5 epochs is best balance. 10 epochs: higher vsR but higher loss (overfitting?). Keep 5 for GPU.
028_shaped_dirichlet	2026-03-14T02:01	algo	Shaped Dirichlet noise (KataGo) on Go9 MLP 5iters	loss	3.770(uniform)	3.608(shaped)	queue_gpu	Lower loss but lower vsR (30% vs 40%). Too noisy at 5 iters/25 sims. Need GPU test.
029_psw	2026-03-14T03:00	algo	Policy surprise weighting λ=1.0 on Go9 MLP 25sims 5iters	loss	3.806(base)	4.136(psw)	queue_gpu	Higher loss expected (upweights hard examples). vsRandom: base 10% final, PSW 40% final. Noisy at local scale but PSW shows better final vsR. Need GPU test.
030_cpp_local	2026-03-14T04:00	bench	C++ MCTS + MPS local: CNN 64f, 50 sims, playout cap, 4 workers	loss	4.249(iter1)	1.863(iter5)	keep	50s/iter locally (vs 170-300s with Python MCTS). C++ engine works great on Mac with MPS. Use for faster local iteration.
031_nn_batch_opt	2026-03-14T04:01	config	nn_batch_size=8 optimal for C++ engine (infra agent finding)	iter_time	slow(64)	10x faster(8)	keep	nn_batch=64 causes batching overhead. Workers desynchronize with large batches → poor cross-worker batching. nn_batch=8 keeps workers in sync.
032_cpp_long	2026-03-15T00:00	train	C++ MCTS 20 iters, CNN 64f, 50 sims, playout cap, 4 workers	loss	4.518(iter1)	2.707(best iter17)	keep	Loss steadily decreasing. vsR noisy (10-60% with 10 games). Entropy 1.3-2.0. Depth 4-6. Game length 94→46. ~60s/iter local. Model learning but still weak at 20 iters.
033_cpp_ownership	2026-03-15T00:01	code	C++ ownership map collection — GoGame::get_ownership_map	-	Python fallback	C++ native	keep	Ownership experiment can now use fast C++ MCTS path. Tested: 4-tuple examples with ownership shape (81,).
034_bs_comparison	2026-03-15T01:00	algo	BS=64 vs BS=256 on C++ MCTS Go9 CNN 64f, 50 sims, 10 iters	total_loss	1.588(bs64)	1.378(bs256)	keep	BS=256 clearly better: 13% lower total loss, policy 1.181 vs 1.389. Value loss identical (0.199). Larger batches = more stable gradients. Update GPU experiments to use BS=256.
035_playout_cap_local	2026-03-15T01:01	algo	Playout cap only (12.5% full, 87.5% cheap) on C++ MCTS Go9 CNN 64f, 50 sims, 30 games, 10 iters	total_loss	1.378(no_cap)	1.661(cap)	keep	17% higher loss due to fewer training examples (30 games × 12.5% = ~4 full positions/game). On GPU with 100+ games, playout cap gives equal quality at 4-5x speed. 37s/iter avg.
036_policy_pruning	2026-03-15T02:00	algo	Policy target pruning thresh=0.03 on C++ MCTS Go9 CNN 64f, 50 sims, 30 games, 10 iters	vsRandom	67%(no_prune)	73%(prune)	keep	+6% vsRandom AND 9.3% lower loss (2.719 vs 2.999). KataGo technique confirmed: cleaner targets improve both loss and play strength. Added to all GPU experiments.
037_progressive_sims	2026-03-15T03:00	algo	Progressive sims (25→100) vs constant 100 on C++ MCTS Go9 CNN 64f, 30 games, 10 iters	total_loss	2.697(const)	2.785(prog)	neutral	Progressive 3.2% higher loss but 43% faster (551s vs 964s). Cost-efficiency better but quality slightly lower. Marginal at 10 iters — may help at GPU scale (300 iters). Not adding to GPU experiments yet.
038_value_loss_weight	2026-03-15T04:00	algo	Value loss weight 0.5 vs 1.0 on C++ MCTS Go9 CNN 64f, 50 sims, 30 games, 10 iters	policy_loss	2.798(vlw1.0)	2.602(vlw0.5)	keep	VLW=0.5 gives 7% better policy loss. Value identical (0.140 vs 0.138). vsRandom both 70% (too noisy at 10 iters/30 games). Added to GPU experiments — should compound over 300 iters.
039_scale500_gpu	2026-03-15T20:00	train	Go9 500 iters, warm-start from Fix D, A5000	total_loss	3.06(fix_d)	1.605(best iter32)	plateau	500 iters but plateaued at iter ~25. Loss ~1.75 for 475 iters. Old alpha=0.12. 3.6h, $0.58.
040_fresh_correct_gpu	2026-03-15T20:01	train	Go9 300 iters from scratch, alpha=0.03, c_puct=1.5, A5000	total_loss	1.605(scale500)	1.639(best iter250)	plateau	Better than scale500 despite fewer iters. Plateaued ~1.65-1.80 after iter 86. 3.1h, $0.50.
041_se_globalpool_gpu	2026-03-15T20:02	train	Go9 200 iters, SE blocks + global pool, 6 res blocks, A5000	total_loss	1.639(fresh)	1.389(best iter137)	keep	BEST OF ALL. SE arch breaks through CNN plateau. Still improving at iter 176 (1.416). 3.4h, $0.54. 0/20 vs GnuGo L1 despite best loss.
042_gnugo_eval	2026-03-15T20:30	eval	Best GPU models vs GnuGo L1, 200 sims, 20 games each	vsGnuGoL1	0%(fix_d)	0%(all three)	keep	se_globalpool 0/20, scale500 0/20 vs GnuGo L1. Low loss ≠ playing strength. Need more training or architectural improvements.
043_kitchen_sink_gpu	2026-03-15T22:45	train	Go9 300 iters, kitchen sink (PSW+VLW+shaped_dirichlet+liberty+pruning), A5000	total_loss	1.389(se_gp)	1.564(best)	discard	Plateau at 1.80 for 80 iters (18-100), then slow descent. PSW=0.5+VLW=0.5 hurt value head. SE arch > KataGo training tricks at this scale. 3.2h, $0.51.
044_depth_6v10	2026-03-15T23:00	arch	6 vs 10 SE+GP blocks on Go9 CNN 128f, 50 sims, 30 games, 5 iters	total_loss	2.562(6b)	2.501(10b)	neutral	10b only 2.4% better but 43% slower (131s vs 91s/iter). 3.09M vs 1.88M params. Marginal at local scale — may help at GPU scale but not worth the cost increase.
